Taxon,nEintraege,nEintraege_neu,RelAnstieg
Scirpus cyperinus,2,,
Scirpus georgianus,7,,
Scirtothrips longipennis,,,
Sciurus carolinensis,1,,
Sciurus niger,11,,
Sciurus vulgaris,,,
Scleroderma cepa,22,,
Scopelophila cataractae,5,,
Scopolia carniolica,15,,
Scopus umbretta,1,,
Scrophularia vernalis,58,,
Scutellaria albida,,,
Scutellaria altissima,182,28,0.91
Scutigera coleoptrata,278,192,1.79
Sedum aizoon,18,,
Sedum caespitosum,5,,
Sedum hispanicum,1841,132,0.44
Sedum kamtschaticum,,,
Sedum sarmentosum,60,,
Sedum spurium,136,37,0.74
Seifertia azaleae,78,50,1.75
Seira elegans,,,
Seira mexicana,,,
Seiridium cardinale,,,
Selaginella apoda,8,,
Semnolius chrysotrichus,,,
Semperula maculata,,,
Sempervivum funckii,28,,
Sempervivum globiferum arenarium,7,,
Sempervivum montanum,9,,
Sempervivum montanum montanum,,,
Senecio inaequidens,,,
Senecio leucanthemifolius,6,,
Senecio vernalis,4215,1131,1.4
Senna didymobotrya,2,,
Sequoia sempervirens,19,,
Sequoiadendron giganteum,432,146,0.97
Serinus canaria,75,24,0.92
Sesamoides purpurascens,,,
Sesamum indicum,1,,
Seseli elatum,,,
Setaria faberi,304,2,0.03
Setaria italica,340,,
Setaria parviflora,5,,
Setchelliogaster tenuipes,,,
Sicyos angulatus,4,,
Sida spinosa,8,,
Sideritis montana,39,,
Sigesbeckia jorullensis,8,,
Silene chalcedonica,141,,
Silene coronaria,2239,590,1.07
Silene dichotoma,259,,
Silene pendula,9,,
Silphium perfoliatum,3736,3357,2.15
Silybum marianum,1256,673,1.56
Sinanodonta woodiana,10,,
Sinapis alba,4032,2453,2.04
Sinelobus stanfordi,,,
Sinelobus vanhaareni,,,
Sinomalus sieboldii,21,,
Sinoxylon perforans,,,
Sinoxylon senegalense,,,
Sirex cyaneus,,,
Sirococcus tsugae,,,
Sisymbrium altissimum,1397,56,0.62
Sisymbrium irio,67,,
Sisymbrium loeselii,1457,357,1.14
Sisymbrium orientale,176,,
Sisymbrium volgense,35,,
Sisyrinchium bermudiana,21,,
Sisyrinchium montanum,65,,
Sitobion luteum,,,
Sitophilus granarius,48,,
Sitophilus oryzae,33,,
Sitophilus zeamais,6,,
Sitotroga cerealella,7,,
Skistodiaptomus pallidus,7,,
Smeringopus pallidus,,,
Sminthurinus trinotatus,20,,
Smittoidea prolifica,1,,
Smyrnium perfoliatum,847,733,2.11
Smyrnium perfoliatum perfoliatum,11,,
Soa flaviterminata,,,
Soil-borne wheat mosaic virus,,,
Solanum americanum,9,,
Solanum angustifolium,34,,
Solanum carolinense,5,,
Solanum chenopodioides,20,,
Solanum melongena,13,,
Solanum physalifolium,66,,
Solanum pseudocapsicum,7,,
Solanum sarrachoides,38,,
Solanum scabrum,2,,
Solanum sisymbriifolium,92,47,1.47
Solanum triflorum,38,,
Solanum tuberosum,882,79,0.53
Solanum villosum,199,33,1.33
Soleirolia soleirolii,34,,
Solidago canadensis,,,
Solidago canadensis x virgaurea,21,,
Solidago gigantea,,,
Sorbaria sorbifolia,2532,2019,2.04
Sorbus thuringiaca,3,,
Sorghum,477,159,1.57
Sorghum almum,,,
Sorghum bicolor,181,83,1.76
Sorghum drummondii,2,,
Sorghum halepense,292,74,1.4
Sosticus loricatus,1,,
Sparaxis tricolor,2,,
Spartina townsendii var. anglica,,,
Spathodea campanulata,1,,
Spilococcus filicicola,,,
Spilococcus mamillariae,,,
Spilopsyllus cuniculi,,,
Spinacia oleracea,42,,
Spinus yarrellii,2,,
Spiraea alba,87,,
Spiraea arguta,79,35,1.23
Spiraea billardii,741,22,0.23
Spiraea chamaedryfolia,184,34,1.37
Spiraea cinerea,16,,
Spiraea douglasii,127,69,1.75
Spiraea japonica,7562,6054,1.93
Spiraea pseudosalicifolia,7,,
Spiraea salicifolia,196,54,1.07
Spiraea tomentosa,37,,
Spiraea trilobata,4,,
Spiraea vanhouttei,309,23,0.58
Spodoptera litura,,,
Spoladea recurvalis,4,,
Sporobolus anglicus,156,37,0.86
Sporobolus michauxianus,12,,
Sporobolus townsendii,4,,
Squamanita odorata,,,
Stachys byzantina,799,292,1.42
Stagonosporopsis ligulicola,,,
Steatoda grossa,57,34,1.59
Steatoda triangulosa,514,348,1.73
Stegobium paniceum,97,29,1.08
Stelidota geminata,42,,
Stenocypris major,,,
Stenocypris malcolmsoni,,,
Stenopelmus rufinasus,11,,
Stephanitis oberti,28,,
Stephanitis rhododendri,9,,
Stephanitis takeyai,105,32,0.88
Stephanopyxis palmeriana,,,
Stephanopyxis turris,10,,
Stictocephala bisonia,783,443,1.41
Stigmatogaster subterranea,35,,
Stragania apicalis,4,,
Strauzia longipennis,4,,
Streblospio benedicti,2,,
Streptopelia roseogrisea,2,,
Stricticollis tobias,16,,
Strongyloides myopotami,,,
Stropharia aurantiaca,34,,
Stropharia eximia,,,
Stropharia rugosoannulata,73,,
Stropharia rugosoannulata exima,,,
Stropharia rugosoannulata rugosoannulata,,,
Strumigenys rogeri,,,
Sturmia bella,8,,
Sturnia sinensis,,,
Sturnus unicolor,5,,
Styela clava,41,,
Styphnolobium japonicum,68,31,1.15
Subulina octona,3,,
Suillus amabilis,,,
Suillus cavipes,140,34,0.88
Suillus grevillei,965,393,1.15
Suillus lakei,4,,
Suillus pictus,,,
Suillus placidus,13,,
Suillus spraguei,,,
Supella longipalpa,5,,
Sylvilagus floridanus,,,
Sylvilagus transitionalis,,,
Symphoricarpos albus,,,
Symphoricarpos albus (L.) C.Koch,,,
Symphoricarpos orbiculatus,87,,
Symphyotrichum dumosum,4,,
Symphyotrichum ericoides,24,,
Symphyotrichum laeve,85,,
Symphyotrichum lanceolatum,1268,107,0.85
Symphyotrichum novae-angliae,1683,963,1.89
Symphyotrichum novi-belgii,1976,433,1.65
Symphyotrichum parviflorum,63,,
Symphyotrichum pilosum,4,,
Symphyotrichum salignum,398,,
Symphyotrichum squamatum,2,,
Symphyotrichum subulatum,1,,
Symphyotrichum tradescantii,304,,
Symphyotrichum versicolor,170,,
Symphytum asperum,351,,
Symphytum bulbosum,20,,
Symphytum grandiflorum,87,48,1.54
Symphytum uplandicum,586,8,0.19
Synchytrium endobioticum,3,,
Synidotea laticauda,,,
Syringa persica,1,,
Syringa vulgaris,,,
Syrmaticus reevesii,12,,
Tachinaephagus zealandicus,,,
Tachycines asynamorus,17,,
Tadorna cana,68,21,0.82
Tadorna ferruginea,,,
Tadorna tadornoides,2,,
Tadorna variegata,4,,
Taeniatherum caput-medusae,,,
Taeniopygia bichenovii,1,,
Taeniopygia guttata,14,,
Tagetes erecta,309,166,1.74
Tagetes minuta,3,,
Talitroides alluaudi,,,
Talitroides topitotum,,,
Talpa europaea,6824,2273,1.05
Tamias sibiricus,12,,
Tamias striatus,3,,
Tanacetum balsamita,140,93,1.91
Tanacetum macrophyllum,232,126,1.89
Tanacetum partheniifolium,11,,
Tanacetum parthenium,,,
Tandonia budapestensis,23,,
Tapinoma melanocephalum,1,,
Tapinoma nigerrimum,,,
Taxiphyllum barbieri,,,
Taxodium distichum,3146,2482,1.91
Taxus cuspidata,4,,
Taxus media,128,,
Taylorilygus apicalis,1,,
Technomyrmex albipes,,,
Technomyrmex detorquens,,,
Tecoma stans,1,,
Telekia speciosa,1404,675,1.57
Tellima grandiflora,504,434,2.1
Telmatogeton japonicus,,,
Tenebrio molitor,407,154,1.44
Tenebroides mauritanicus,5,,
Teredo navalis,13,,
Testacella haliotidea,1,,
Tetradium daniellii,28,,
Tetragnatha shoshone,2,,
Tetragonia tetragonioides,8,,
Tetramorium guineense,,,
Tetramorium obesum,,,
Tetramorium simillimum,,,
Tetranychus ludeni,,,
Tetranychus urticae,3,,
Tetrao urogallus,747,47,1.3
Tetrapriocera longicornis,,,
Tetrastes bonasia,436,38,1.21
Thalassiosira hendeyi,14,,
Thalassiosira punctigera,165,,
Thalassiosira tealata,,,
Thalictrum delavayi,3,,
Thanatus vulgaris,14,,
Tharyx killariensis,3,,
Thaumatotibia leucotreta,2,,
Thecadinium kofoidii,,,
Thecadinium yashimaense,1,,
Thelidomus aspera,,,
Theocolax elegans,,,
Theodoxus danubialis,7,,
Theodoxus transversalis,1,,
Theotima minutissima,,,
Thera cupressata,,,
"Therioaphis trifolii (Monell, 1882)",,,
Thermobia domestica,1,,
Thes bergrothi,8,,
Thinopyrum elongatum,25,,
Thoracochaeta seticosta,1,,
Threskiornis aethiopicus,443,21,0.16
Thrips setosus,,,
Thrips simplex,,,
Thrips tabaci,2,,
Thuja occidentalis,576,117,0.85
Thuja plicata,131,59,1.53
Thunbergia alata,32,,
Thymallus arcticus,4,,
Thymus praecox britannicus,38,,
Thymus pulegioides pannonicus,446,11,0.37
Tiarella cordifolia,4,,
Tiaropsis multicirrata,,,
Tilia americana,7,,
Tilia euchlora,34,,
Tilletia caries,8,,
Tilletia controversa,13,,
Tineola bisselliella,117,51,1.25
Tinocallis takachihoensis,13,,
Tithonia diversifolia,1,,
Tomato ringspot virus,,,
Tomato spotted wilt orthotospovirus,,,
Torilis nodosa,14,,
Toxicodendron pubescens,,,
Toxicodendron radicans,,,
Trachelospermum jasminoides,14,,
Trachemys scripta,2533,729,0.81
Trachemys scripta elegans,1037,206,0.64
Trachemys scripta scripta,989,273,0.7
Trachycarpus fortunei,12,,
"Trachystemon orientalis Linnaeus, 1753",,,
Tradescantia andersoniana,59,,
Tradescantia virginiana,101,41,1.25
Tragopogon porrifolius,39,,
Tragus racemosus,43,,
Triadica sebifera,,,
Triaeris stenaspis,8,,
Trialeurodes vaporariorum,120,60,1.23
Tribolium castaneum,87,,
Tribolium confusum,20,,
Tribolium destructor,10,,
Tricellaria inopinata,,,
Trichiusa robustula,17,,
Trichoglossus haematodus,1,,
Trichogramma brassicae,,,
Trichogramma chilonis,,,
Trichogramma dendrolimi,1,,
Trichoniscoides sarsi,1,,
Trichopoda pennipes,,,
Trichromothrips billeni,,,
Trichuris opaca,,,
Trifolium alexandrinum,512,14,0.32
Trifolium hybridum,,,
Trifolium hybridum elegans,409,0,0
Trifolium incarnatum,,,
Trifolium patens,1,,
Trifolium resupinatum,3332,1047,1.8
Trifolium subterraneum,21,,
Trigonella caerulea,22,,
Trimenopon hispidum,,,
Triticum aestivum,,,
Triticum turgidum,221,85,1.89
Triturus carnifex,15,,
Triturus marmoratus,1,,
Trocheta cylindrica,2,,
Trochila laurocerasi,16,,
Trogoderma angustum,97,50,1.32
Trogoderma glabrum,25,,
Trogoderma granarium,5,,
Tropaeolum majus,357,145,1.4
Tropaeolum peregrinum,3,,
Tropaeolum speciosum,2,,
Tsuga canadensis,198,72,1.37
Tsuga heterophylla,65,40,1.7
Tsuga mertensiana,5,,
Tuber gibbosum,,,
Tubificoides heterochaetus,,,
Tulipa clusiana,2,,
Tulipa gesneriana,1439,119,0.57
Tulipa sylvestris,2547,1574,1.91
Tulipa turkestanica,36,,
Tulipa urumiensis,116,14,0.41
Tulostoma giovanellae,,,
Tulostoma squamosum,1,,
Tulostoma subfuscum,,,
Tupiocoris rhododendri,3,,
Tympanuchus cupido,,,
Typha laxmannii,31,,
Typhaea haagi,2,,
Typhaea stercorea,47,,
"Typhonia beatricis Hattenschwiler, 2000",1,,
Typhula spathulata,2,,
Ulex europaeus,520,174,1.54
Ulex europaeus europaeus,7,,
Ulmus pumila,6,,
Uloborus plumipes,73,36,1.68
Ulva australis,6,,
Ulva californica,4,,
Ulva gigantea,5,,
Ulva lactuca,231,31,0.64
Umbra limi,,,
Umbra pygmaea,,,
Umbraulva dangeardii,2,,
Undaria pinnatifida,,,
Unio mancus,,,
Uraeginthus bengalus,1,,
Urnatella gracilis,,,
Urocystis cepulae,2,,
Urocystis occulta,7,,
Urolepis rufipes,,,
Uroleucon erigeronense,,,
Uromyces appendiculatus,36,,
Urozelotes rusticus,1,,
Urtica pilulifera,11,,
Ustilago maydis,259,163,1.91
Vaccinium atlanticum,,,
Vaccinium corymbosum,20,,
Vaccinium macrocarpum,94,50,1.75
Vachellia farnesiana,,,
Valerianella eriocarpa,12,,
Vallisneria spiralis,30,,
Vanellus armatus,1,,
Vanellus miles,8,,
Vanellus spinosus,,,
Varroa destructor,4,,
Vasates quadripedes,18,,
Venturia inaequalis,28,,
Verbascum speciosum,201,41,0.93
Verbena aristigera,5,,
Verbena bonariensis,2035,1672,2
Verbena bracteata,1,,
Verbena hastata,17,,
Verbena rigida,11,,
Verbesina encelioides,7,,
Veronica filiformis,6178,1333,1.23
Veronica peregrina,704,33,0.53
Veronica peregrina peregrina,262,0,0
Veronica persica,,,
Veronicastrum virginicum,7,,
Verruca stroemia,9,,
Vespa velutina,42,,
Vespa velutina nigrithorax,3,,
Viburnum rhytidophyllum,,,
Vicia articulata,4,,
Vicia faba,441,162,1.51
Vicia grandiflora,759,55,0.7
Vicia johannis,13,,
Vicia lutea,132,,
Vicia lutea lutea,7,,
Vicia narbonensis,9,,
Vicia pannonica,554,70,1.42
Vicia sativa nigra,,,
Vicia villosa,,,
Vicia villosa ambigua,146,,
Vicia villosa varia,941,25,0.39
Vicia villosa villosa,4,,
Victorella pavida,,,
Vinca major,2793,1915,1.76
Vinca major major,8,,
Vincetoxicum rossicum,1,,
Viola lutea calaminaria,219,96,1.21
Viola lutea westfalica,137,,
Viola suavis,175,,
Viola tricolor curtisii,16,,
Viola tricolor subsp. subalpina,19,,
Viola wittrockiana,382,229,1.72
Visnaga daucoides,20,,
Vitis vulpina,,,
Vitula edmandsii,3,,
Vitula edmandsii subsp. serratilineella,,,
Viviparus acerosus,8,,
Viviparus ater,12,,
Viviparus viviparus,196,,
Volvariella volvacea,6,,
Wasmannia auropunctata,,,
Watersipora subtorquata,,,
Weigela florida,141,19,0.69
Weigela japonica,5,,
Wisteria floribunda,25,,
Wisteria sinensis,109,38,1.06
Wolffia columbiana,8,,
Xanthium albinum,108,,
Xanthium chinense,,,
Xanthium orientale,246,24,0.63
Xanthium orientale riparium,65,,
Xanthium spinosum,36,,
Xanthoceras sorbifolium,,,
Xanthocyparis nootkatensis,27,,
Xenopus laevis,4,,
Xenotoca eiseni,,,
Xerochrysum bracteatum,30,,
Xerosecta oranensis,,,
Xiphinema coxi coxi,,,
Xiphinema index,,,
Xironogiton victoriensis,1,,
Xyela curva,8,,
Xyleborinus alni,1,,
Xyleborinus attenuatus,5,,
Xyleborus bodoanus,36,,
Xyleborus germanus,88,,
Xyleborus pfeilii,2,,
Xylobiops basilaris,,,
Xylocoris flavipes,,,
Xyloperthella crinitarsis,,,
Xylosandrus germanus,2,,
Yucca aloifolia,4,,
Yucca filamentosa,277,77,0.98
Yucca gloriosa,6,,
Zantedeschia aethiopica,1,,
Zea mays,2927,1603,1.58
Zelkova serrata,12,,
Zelotes puritanus,4,,
Zimiris doriai,,,
Zinnia elegans,152,70,1.36
Ziziphus jujuba,8,,
Zonitoides arboreus,1,,
Zonitoides excavatus,1,,
Zonotrichia albicollis,1,,
Zoothamnium minimum,,,
Zoropsis spinimana,,,
