Taxon,nEintraege,nEintraege_neu,RelAnstieg
Chelopistes meleagridis,,,
Chelydra serpentina,7,,
Chen caerulescens,292,61,0.99
Chen canagica,49,,
Chen rossii,417,25,0.21
Chenia leptophylla,4,,
Chenonetta jubata,72,,
Chenopodiastrum simplex,9,,
Chenopodium berlandieri,11,,
Chenopodium capitatum,,,
Chenopodium desiccatum,2,,
Chenopodium hircinum,14,,
Chenopodium lobodontum,1,,
Chenopodium rubrum,,,
Chenopodium strictum,1136,22,0.27
Cherax destructor,,,
Cherax quadricarinatus,,,
Cherax tenuimanus,,,
Chiasmia aestimaria,4,,
Chilocorus circumdatus,,,
Chilostoma cingulatum,23,,
Chilostoma cingulatum baldense,,,
Chimonanthus praecox,34,,
Chloephaga picta,6,,
Chloris chloris,,,
Chlorophyllum agaricoides,,,
Chlorophytum comosum,5,,
Choanotaenia infundibulum,,,
Choneiulus palmatus,74,,
Chorda filum,62,,
Chromaphis juglandicola,2,,
Chrysemys picta,15,,
Chrysodeixis chalcites,17,,
Chrysodeixis eriosoma,,,
Chrysojasminum odoratissimum,1,,
Chrysolophus amherstiae,8,,
Chrysolophus pictus,28,,
Chrysomphalus aonidum,,,
Chrysomphalus dictyospermi,,,
Chrysomya albiceps,4,,
Chrysoperla carnea,5418,2581,1.16
Chymomyza amoena,47,,
Ciborinia camelliae,,,
Cichorium endivia,48,,
Cicurina japonica,20,,
Cinara curvipes,2,,
Cinnamomum camphora,4,,
Cirsium hybridum,141,,
Citrullus lanatus,82,,
Citrus aurantium,9,,
Citrus limon,18,,
Citrus reticulata,8,,
Citrus trifoliata,17,,
Civettictis civetta,,,
Clambus simsoni,36,,
Clarkia amoena,10,,
Clarkia unguiculata,13,,
Clathrus archeri,661,279,1.22
Clathrus ruber,16,,
Claviceps purpurea,432,74,1.38
Claviceps purpurea var. spartinae,,,
Claviceps spartinae,,,
Claytonia perfoliata,6647,5244,1.97
Claytonia perfoliata perfoliata,5208,4329,2.06
Claytonia sibirica,54,,
Cleidodiscus robustus,,,
Clematis montana,64,15,0.67
Clematis serratifolia,1,,
Clematis tangutica,48,,
Clematis viticella,237,167,1.82
Cleome houtteana,25,,
Cleome spinosa,,,
Clepsis peritana,2,,
Clerodendrum trichotomum,11,,
Clethra alnifolia,13,,
Clethra arborea,4,,
Clivia nobilis,1,,
Clonorchis sinensis,,,
Clytiomya continua,2,,
Cnephasia longana,9,,
Cnephasia pasiuana,29,,
Coccinonectria pachysandricola,6,,
Coccus hesperidum,15,,
Codium fragile,25,,
Codium fragile fragile,,,
Coelostemma fusca,,,
Coenosia attenuata,3,,
Coffea arabica,2,,
Coleophora laricella,127,41,1.53
Coleosoma floridanum,9,,
Coleotechnites piceaella,5,,
Coleus scutellarioides,1,,
Colinus virginianus,,,
Colletotrichum dematium,12,,
Colletotrichum gloeosporioides,7,,
Collomia grandiflora,54,,
Colobopyga kewensis,,,
Coloeus monedula,,,
Colombian datura virus,,,
Colpocephalum turbinatum,,,
Colpomenia peregrina,1,,
Columba livia,,,
Columba oenas,,,
Columba palumbus,,,
Commelina benghalensis,1,,
Compsopogon caeruleus,,,
Compsopogon coeruleus,,,
Congeria leucophaeta leucophaeta,,,
Congeria leucophaeta leucophaeta,,,
Coniophora prasinoides,,,
Conocybe intrusa,3,,
Contarinia pseudotsugae,,,
Contarinia quinquenotata,1,,
Conuropsis carolinensis,,,
Corambe obscura,,,
Corbicula fluminalis,32,,
Corbicula fluminea,676,217,1.28
Corcyra cephalonica,3,,
Cordioniscus stebbingi,1,,
Cordylophora caspia,38,,
Coregonus clupeaformis,,,
Coregonus maraenoides,,,
Coregonus oxyrinchus,4,,
Corella eumyota,,,
Coreopsis grandiflora,21,,
Coreopsis lanceolata,144,91,1.69
Coreopsis tinctoria,822,660,1.96
Coreopsis verticillata,67,,
Corethron pennatum,1,,
Coriandrum sativum,923,658,1.97
Corispermum americanum rydbergii,,,
Corispermum hyssopifolium,8,,
Corispermum intermedium,4,,
Corispermum marschallii,3,,
Corispermum pallasii,550,34,0.57
Cornu aspersum,2243,1824,1.99
Cornus alba,690,85,0.68
Cornus alba subsp. alba,,,
Cornus canadensis,8,,
Cornus sericea,1200,100,0.54
Corophium sextonae,2,,
Cortaderia jubata,,,
Cortaderia selloana,33,,
Corticaria fenestralis,,,
Corticaria ferruginea,1,,
Corticaria fulva,6,,
Corticaria pubescens,3,,
Corticaria serrata,60,,
Corvus albus,8,,
Corvus splendens,,,
Corydalis bracteata,7,,
Corydalis cheilanthifolia,7,,
Corylus maxima,296,96,0.93
Corythucha ciliata,169,118,1.96
Coscinodiscus wailesii,555,,
Coscoroba coscoroba,3,,
Cosmos bipinnatus,7319,5696,1.93
Cothurnia anomala,,,
Cotinus coggygria,493,305,1.71
Cotoneaster acuminatus,1,,
Cotoneaster acutifolius,90,,
Cotoneaster adpressus,48,,
Cotoneaster affinis,1,,
Cotoneaster ambiguus,34,,
Cotoneaster bullatus,811,404,1.58
Cotoneaster dammeri,963,495,1.7
Cotoneaster dielsianus,27,,
Cotoneaster divaricatus,1949,73,0.24
Cotoneaster hjelmqvistii,3,,
Cotoneaster horizontalis,1231,336,1.36
Cotoneaster microphyllus,19,,
Cotoneaster moupinensis,21,,
Cotoneaster multiflorus,620,515,2.01
Cotoneaster nitens,1,,
Cotoneaster roseus,,,
Cotoneaster rotundifolius,1,,
Cotoneaster salicifolius,687,519,1.94
Cotoneaster simonsii,6,,
Cotoneaster suecicus,18,,
Cotoneaster watereri,14,,
Cotoneaster zabelii,3,,
Cotula coronopifolia,224,80,1.08
Coturnix coturnix,5194,881,0.85
Crambe cordifolia,7,,
Crangonyx pseudogracilis,16,,
Craspedacusta sowerbii,27,,
Crassostrea angulata,,,
Crassostrea virginica,,,
Crassula helmsii,56,,
Crassula ovata,1,,
Crassula peduncularis,2,,
Crataegus chlorosarca,1,,
Crataegus crus-galli,64,,
Crataegus intricata,,,
Crataegus pedicellata,28,,
Crataegus persimilis,15,,
Crataegus submollis,1,,
Crataerina melbae,,,
Crematogaster scutellaris,5,,
Crenidorsum aroidephagus,,,
Crepidotus cinnabarinus,,,
Crepidula fornicata,272,79,0.81
Crepis nicaeensis Balb.,8,,
Crepis setosa,230,36,1.71
Crocosmia masoniorum,18,,
Crocus flavus,107,38,1.31
Crocus hybridus,1,,
Crocus sativus,11,,
Crocus tommasinianus,2357,1159,1.56
Cronartium ribicola,256,,
Crossopriza lyoni,15,,
Cruciata glabra,139,,
Cryphonectria parasitica,4,,
Cryptamorpha desjardinsi,1,,
Cryptococcus fagisuga,18,,
Cryptolaemus montrouzieri,34,,
Cryptolestes ferrugineus,41,,
Cryptolestes pusillus,7,,
Cryptolestes spartii,11,,
Cryptolestes turcicus,4,,
Cryptomeria japonica,37,,
Cryptophagus dentatus,344,,
Cryptophagus distinguendus,53,,
Cryptophagus saginatus,38,,
Cryptophilus obliteratus,36,,
Cryptopleurum subtile,75,,
Cryptops anomalans,20,,
Cryptorchestia cavimana,8,,
Cryptostroma corticale,38,,
Cryptotermes brevis,,,
Ctenarytaina eucalypti,,,
Ctenolepisma calvum,6,,
Ctenopharyngodon idella,111,25,0.88
Cuclotogaster heterographus,,,
Cucumis melo,48,,
Cucumis sativus,47,,
Cucurbita maxima,25,,
Cucurbita pepo,343,27,0.55
Cucurbita pepo subsp. ovifera,2,,
Culaea inconstans,,,
Cumminsiella mirabilissima,367,154,1.72
Cuphea ignea,4,,
Cuphea viscosissima,1,,
Cupressatia siskiyou,1,,
Cuscuta campestris,164,,
Cuscuta gronovii,106,,
Cuscuta monogyna,,,
Cuscuta pentagona,,,
Cuscuta scandens,1,,
Cuscuta suaveolens,10,,
Cyanopica cyanus,,,
Cyathus stercoreus,14,,
Cyclachaena xanthiifolia,128,,
Cyclamen coum,159,73,1.2
Cyclamen hederifolium,90,43,1.33
Cyclopterus lumpus,52,,
Cycloptilum antillarum,,,
Cyclorhipidion pelliculosum,,,
Cyclospermum leptophyllum,1,,
Cydalima perspectalis,8287,5161,1.49
Cygnus atratus,2823,683,0.84
Cygnus buccinator,,,
Cygnus cygnus,,,
Cygnus melancoryphus,6,,
Cygnus olor,,,
Cylindrocladium buxicola,,,
Cylindroiulus britannicus,53,,
Cylindroiulus parisiorum,1,,
Cylindroiulus truncorum,28,,
Cylindropuntia imbricata,2,,
Cymbalaria muralis,,,
Cymbalaria muralis muralis,652,9,0.37
Cynaeus angustus,4,,
Cynodon dactylon,371,87,1.23
Cynoglossum amabile,29,,
Cynops pyrrhogaster,,,
Cynosurus echinatus,36,,
Cyperus congestus,1,,
Cyperus dactylotes,,,
Cyperus eragrostis,57,,
Cyperus esculentus,46,,
Cyperus exaltatus,,,
Cyperus involucratus,,,
Cyperus rigens rigens,,,
