Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank,Jahr
Impatiens glandulifera,12.70833,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.79167,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,12.875,48.025,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.625,47.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.625,47.925,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.708333,47.975,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.791667,47.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.708333,47.925,1960 - 1987,0.9128,sMon,1987
Impatiens glandulifera,7.875,47.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,7.958333,47.975,1960 - 1987,1,sMon,1987
Impatiens glandulifera,10.125,47.975,1960 - 1987,1,sMon,1987
