TaxonName,TaxonUsageID,MTB_Q,Longitude,Latitude,Timestep,Period,OP,OP_sd
Impatiens glandulifera,3063,22432,12.95833,53.775,1,1960 - 1987,0.065,0.0016
Impatiens glandulifera,3063,22433,12.875,53.725,1,1960 - 1987,0.082,0.002
Impatiens glandulifera,3063,22434,12.95833,53.725,1,1960 - 1987,0.0754,0.0018
Impatiens glandulifera,3063,22441,13.04167,53.775,1,1960 - 1987,0.0741,0.0018
Impatiens glandulifera,3063,22442,13.125,53.775,1,1960 - 1987,0.0792,0.0019
Impatiens glandulifera,3063,22443,13.04167,53.725,1,1960 - 1987,0.089,0.0021
Impatiens glandulifera,3063,22444,13.125,53.725,1,1960 - 1987,0.0869,0.0021
Impatiens glandulifera,3063,22451,13.20833,53.775,1,1960 - 1987,0.083,0.002
Impatiens glandulifera,3063,22452,13.29167,53.775,1,1960 - 1987,0.1374,0.0032
Impatiens glandulifera,3063,22453,13.20833,53.725,1,1960 - 1987,0.1055,0.0025
Impatiens glandulifera,3063,22454,13.29167,53.725,1,1960 - 1987,0.1257,0.003
Impatiens glandulifera,3063,22461,13.375,53.775,1,1960 - 1987,0.1394,0.0033
Impatiens glandulifera,3063,22462,13.45833,53.775,1,1960 - 1987,0.1096,0.0026
Impatiens glandulifera,3063,22463,13.375,53.725,1,1960 - 1987,0.1196,0.0028
Impatiens glandulifera,3063,22464,13.45833,53.725,1,1960 - 1987,0.0861,0.0021
Impatiens glandulifera,3063,22471,13.54167,53.775,1,1960 - 1987,0.0829,0.002
Impatiens glandulifera,3063,22472,13.625,53.775,1,1960 - 1987,0.0953,0.0023
Impatiens glandulifera,3063,22473,13.54167,53.725,1,1960 - 1987,0.0916,0.0022
Impatiens glandulifera,3063,22474,13.625,53.725,1,1960 - 1987,0.1282,0.003
Impatiens glandulifera,3063,22481,13.70833,53.775,1,1960 - 1987,0.0879,0.0021
Impatiens glandulifera,3063,22482,13.79167,53.775,1,1960 - 1987,0.1695,0.0039
Impatiens glandulifera,3063,22483,13.70833,53.725,1,1960 - 1987,0.1273,0.003
Impatiens glandulifera,3063,22484,13.79167,53.725,1,1960 - 1987,0.1392,0.0033
Impatiens glandulifera,3063,22491,13.875,53.775,1,1960 - 1987,0.173,0.004
Impatiens glandulifera,3063,22492,13.95833,53.775,1,1960 - 1987,0.201,0.0045
Impatiens glandulifera,3063,22493,13.875,53.725,1,1960 - 1987,0.1755,0.004
Impatiens glandulifera,3063,22494,13.95833,53.725,1,1960 - 1987,0.1833,0.0042
Impatiens glandulifera,3063,22501,14.04167,53.775,1,1960 - 1987,0.204,0.0046
Impatiens glandulifera,3063,22502,14.125,53.775,1,1960 - 1987,0.122,0.0029
Impatiens glandulifera,3063,22503,14.04167,53.725,1,1960 - 1987,0.1931,0.0044
Impatiens glandulifera,3063,22504,14.125,53.725,1,1960 - 1987,0.1621,0.0037
Impatiens glandulifera,3063,22511,14.20833,53.775,1,1960 - 1987,0.186,0.0042
Impatiens glandulifera,3063,22512,14.29167,53.775,1,1960 - 1987,0.1827,0.0042
Impatiens glandulifera,3063,22513,14.20833,53.725,1,1960 - 1987,0.1957,0.0044
Impatiens glandulifera,3063,22514,14.29167,53.725,1,1960 - 1987,0.1895,0.0043
Impatiens glandulifera,3063,23061,6.708333,53.675,1,1960 - 1987,0.2057,0.0046
Impatiens glandulifera,3063,23062,6.791667,53.675,1,1960 - 1987,0.2503,0.0055
Impatiens glandulifera,3063,23063,6.708333,53.625,1,1960 - 1987,0.2946,0.0062
Impatiens glandulifera,3063,23064,6.791667,53.625,1,1960 - 1987,0.2814,0.006
Impatiens glandulifera,3063,23071,6.875,53.675,1,1960 - 1987,0.2242,0.005
Impatiens glandulifera,3063,23072,6.958333,53.675,1,1960 - 1987,0.2269,0.005
Impatiens glandulifera,3063,23073,6.875,53.625,1,1960 - 1987,0.1511,0.0035
Impatiens glandulifera,3063,23074,6.958333,53.625,1,1960 - 1987,0.1083,0.0026
Impatiens glandulifera,3063,23081,7.041667,53.675,1,1960 - 1987,0.1929,0.0044
Impatiens glandulifera,3063,23082,7.125,53.675,1,1960 - 1987,0.1564,0.0036
