Taxon_deutsch,Taxon_wissensch
Abessinisches Ramtillkraut,Guizotia abyssinica
Rispiges Gipskraut,Gypsophila paniculata
Durchwachsenblättriges Gipskraut,Gypsophila perfoliata
Schwarzwurzel-Gipskraut,Gypsophila scorzonerifolia
,Halyomorpha halys
,Haplophthalmus danicus
Asiatischer Marienkäfer,Harmonia axyridis
Gewächshaushusar,Hasarius adansoni
Gewöhnliche Sonnenblume,Helianthus annuus
Stauden-Sonnenblume,Helianthus decapetalus
Bastard-Sonnenblume,Helianthus laetiflorus
Bastard-Sonnenblume,Helianthus × laetiflorus
Steife Sonnenblume,Helianthus pauciflorus
Topinambur,Helianthus tuberosus
Garten-Nieswurz,Helleborus orientalis
Natternkopf-Bitterkraut,Helminthotheca echioides
Gelbrote Taglilie,Hemerocallis fulva
Gelbe Taglilie,Hemerocallis lilioasphodelus
Riesen-Bärenklau,Heracleum mantegazzianum
Behaartes Bruchkraut,Herniaria hirsuta
Nachtviole,Hesperis matronalis
Stundeneibisch,Hibiscus trionum
Frühblühendes Habichtskraut,Hieracium glaucinum
Grausenf,Hirschfeldia incana
Mähnen-Gerste,Hordeum jubatum
Spanisches Hasenglöckchen,Hyacinthoides hispanica
Bastard-Hasenglöckchen,Hyacinthoides massartiana
Bastard-Hasenglöckchen,Hyacinthoides × massartiana
Kantige Laubschnecke,Hygromia cinctella
Prächtige Waldfetthenne,Hylotelephium spectabile
,Hylotelephium maximum × spectabile
,Hymenoscyphus fraxineus
,Hypania invalida
Größeres Kanadisches Johanniskraut,Hypericum majus
Ysop,Hyssopus officinalis
Echter Ysop (Unterart),Hyssopus officinalis officinalis
Doldige Schleifenblume,Iberis umbellata
Kap-Springkraut,Impatiens capensis
Buntes Springkraut,Impatiens edgeworthii
Drüsiges Springkraut,Impatiens glandulifera
Kleines Springkraut,Impatiens parviflora
Echter Alant,Inula helenium
Grasblättrige Schwertlilie,Iris graminea
Zwerg-Schwertlilie,Iris pumila
,Jackrogersella cohaerens
Berg-Greiskraut,Jacobaea subalpina
Japanische Ahornzirpe,Japananus hyalinus
Schwertblättrige Binse,Juncus ensifolius
Zarte Binse,Juncus tenuis
Kali-Salzkraut,Salsola tragus
Schmalblättrige Lorbeerrose,Kalmia angustifolia
Breitblättrige Mehlbeere,Karpatiosorbus latifolia
Japanisches Goldröschen,Kerria japonica
,Kryphioiulus occultus
Kleiner Ohrwurm,Labia minor
Sandohrwurm,Labidura riparia
Gewöhnlicher Goldregen,Laburnum anagyroides
Großblättriger Milchlattich,Lactuca macrophylla
Großblättriger Milchlattich,Cicerbita macrophylla
Tataren-Lattich,Lactuca tatarica
